Seriation_Number	Assemblage	3863936-7463674-2	8638766-6766830-4866952	951185-3741774-2	6198895-6766830-6592068	951185-7463674-2	4046153-7463674-2376222	8065671-7463674-2	8638766-2532191-6592068	4-1273712-2425209	4410024-2-4	2-2-7849543	3863936-7463674-6650257	5777922-4-2	2679739-6766830-6592068	4-5357567-2425209	4-4-3127737	8507628-2-2	743801-7463674-2	1-5509353-8209884	1-3834870-2	1-2-9097515	951185-30505-2	6348007-6766830-2	3863936-7463674-6199675	4679561-7463674-6199675	1419218-7463674-6199675	1837954-5509353-8209884	4-8856579-2425209	1555915-7463674-2	3863936-7463674-4327482	8638766-6766830-962747	4-1462720-2425209	4-4-2425209	6348007-7054411-2	2-0-1	8638766-6766830-4124975	460832-4-2425209	1-2-2	3863936-4462588-2	849020-4-2	3863936-2-2	4046153-7463674-2	4-7806106-2425209	1419218-7055282-6199675	4342078-0-3	9982093-4-2425209	2908238-2-4	2-2-2	2-2-4	3863936-7463674-558377	8638766-6766830-9261898	2-832720-2	2-2-7036232	4-6963226-2425209	8638766-6766830-2	1-3355841-2	5727312-7463674-2	3863936-4163241-2	4-4-5268397	5531328-2-4	4-9903156-2	8638766-6766830-6558874	3-0-6137916	1-5509353-2	4046153-7463674-5082468	2-8091505-2	2-2-5949415	2638422-0-1	2-2-2442516	664612-7463674-2376222	8638766-6766830-6592068	2603179-4-4648555	4-4-2204340	9624259-2-4	374377-3741774-2	1929208-8091505-2	951185-9176509-2	1837954-3474682-8209884	1-6766830-2	3863936-3190156-2	3-0-4	3-0-3	4-4-0	4-4-2	1604020-2-2	1-2168812-2	4-2059413-2	9930920-2-2	3863936-7463674-6107512	3863936-7463674-5360990	3863936-7463674-3009337
96	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
96	assemblage-315-456	0	0	20	0	222	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	19
96	assemblage-750-574	61	0	0	0	29	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8

97	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
97	assemblage-315-456	0	0	20	0	222	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	19
97	assemblage-902-625	136	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	9	0	0	0	8

98	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
98	assemblage-315-456	0	0	20	0	222	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	19
98	assemblage-717-257	48	0	0	0	42	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12

99	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
99	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
99	assemblage-302-608	38	0	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	4	0	0	0	0	0	0	0	43	0	0	0	28	0	0	0	0	0	0	21

100	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
100	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
100	assemblage-234-894	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	0	0	0	0	0	17

101	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
101	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
101	assemblage-600-519	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	129	0	0	0	0	0	0	13

102	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
102	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
102	assemblage-750-574	61	0	0	0	29	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8

103	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
103	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
103	assemblage-902-625	136	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	9	0	0	0	8

104	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
104	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
104	assemblage-717-257	48	0	0	0	42	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12

105	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
105	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
105	assemblage-745-580	6	0	0	0	192	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	42	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28

106	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
106	assemblage-626-532	21	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	31
106	assemblage-315-456	0	0	20	0	222	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	19

107	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
107	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
107	assemblage-302-608	38	0	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	4	0	0	0	0	0	0	0	43	0	0	0	28	0	0	0	0	0	0	21

108	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
108	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
108	assemblage-404-541	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	35	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	9

109	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
109	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
109	assemblage-234-894	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	0	0	0	0	0	17

110	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
110	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
110	assemblage-600-519	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	129	0	0	0	0	0	0	13

111	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
111	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
111	assemblage-750-574	61	0	0	0	29	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8

112	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
112	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
112	assemblage-902-625	136	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	9	0	0	0	8

113	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
113	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
113	assemblage-717-257	48	0	0	0	42	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12

114	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
114	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
114	assemblage-219-905	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	19	0	17

115	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
115	assemblage-652-638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	22
115	assemblage-315-456	0	0	20	0	222	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	19

116	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
116	assemblage-820-672	37	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	9	0	0	0	0	0	0	0	58	0	0	0	19	0	0	0	0	0	0	17
116	assemblage-234-894	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	0	0	0	0	0	17

117	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
117	assemblage-820-672	37	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	9	0	0	0	0	0	0	0	58	0	0	0	19	0	0	0	0	0	0	17
117	assemblage-600-519	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	129	0	0	0	0	0	0	13

118	assemblage-393-858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	24	0	12	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	11	5	0	0	0	0	0	0	15
