Seriation_Number	Assemblage	8677193-0-2035573	4-3-8445706	1-2-5219430	1069394-1-8946562	1069394-1361493-0	0-0-2464660	4964272-9667670-0	4-2-1	8069266-3-1	5421441-3641856-2035573	1069394-2054587-0	9185240-0-2426045	4-6747150-1	3-1-0	4964272-8785362-0	1948217-2-1	1069394-1-9542299	1613540-0-2035573	9719597-4741113-0	2369800-1948675-2583772	0-5672387-2035573	5421441-0-2035573	2-1-2	3-1-8129347	4-3-7069680	7349978-0-8483066	6134959-1-0	1-1-3	0-0-2035573	0-2022262-2035573	9950078-1-0	3932621-1-0	4197677-0-2426045	1069394-1-0	2614014-236200-798483	9719597-1-0	2369800-1948675-1	6728917-0-2035573	0-4376688-2035573	0-8081326-653139	1069394-1-798483	0-0-2324358	5421441-0-8483066	1069394-972024-0	2369800-8718605-1	9185240-0-8993147	1069394-5953784-0	0-8081326-5172240	1-2-2	0-0-6937357	1301221-1948675-1	1069394-1-6073544	3306219-1-0	2369800-3-1	1069394-1-7177399	9213184-0-2798509	9213184-3620051-2426045	0-4877384-2035573	9270432-1-798483	382749-0-2426045	862253-0-2035573	3-2147871-0	1069394-1-8222314	4964272-1-0	9213184-0-2426045	4964272-9667670-3345804	9580557-3-1	5931226-2-2	0-5672387-7355917	0-2495394-2035573	2614014-1-798483	2369800-3-5159429	1131405-3-1	4-3-8743789	0-0-2426045	4-3-1	1069394-8569491-0	2130858-1-0	9605394-1-0	2369800-1948675-5887784	3692745-0-2035573	0-8289548-2035573
99	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

100	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
100	assemblage-724-779	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	41	17
100	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18

101	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
101	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
101	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

102	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
102	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
102	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

103	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
103	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
103	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18

104	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
104	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
104	assemblage-724-779	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	41	17

105	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
105	assemblage-659-328	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
105	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

106	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
106	assemblage-659-328	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
106	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

107	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
107	assemblage-659-328	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
107	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18

108	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
108	assemblage-659-328	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
108	assemblage-724-779	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	41	17

109	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
109	assemblage-659-328	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
109	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

110	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
110	assemblage-294-696	0	0	0	0	0	0	0	0	0	0	163	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	84	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13
110	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

111	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
111	assemblage-294-696	0	0	0	0	0	0	0	0	0	0	163	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	84	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13
111	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

112	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
112	assemblage-294-696	0	0	0	0	0	0	0	0	0	0	163	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	84	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13
112	assemblage-593-138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	8	0	0	0	0	0	0	0	256	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9

113	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
113	assemblage-294-696	0	0	0	0	0	0	0	0	0	0	163	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	84	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13
113	assemblage-541-439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	7	0	0	0	0	0	0	0	246	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5

114	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
114	assemblage-324-414	0	0	0	0	0	0	84	0	0	0	0	0	0	68	80	0	0	0	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	18
114	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

115	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
115	assemblage-324-414	0	0	0	0	0	0	84	0	0	0	0	0	0	68	80	0	0	0	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	18
115	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

116	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
116	assemblage-324-414	0	0	0	0	0	0	84	0	0	0	0	0	0	68	80	0	0	0	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	18
116	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18

117	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
117	assemblage-324-414	0	0	0	0	0	0	84	0	0	0	0	0	0	68	80	0	0	0	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	18
117	assemblage-724-779	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	41	17

118	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
118	assemblage-324-414	0	0	0	0	0	0	84	0	0	0	0	0	0	68	80	0	0	0	0	7	0	0	0	0	0	0	0	0	37	0	0	0	0	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	0	18
118	assemblage-672-973	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	3	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14

119	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
119	assemblage-367-832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	7
119	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

120	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
120	assemblage-680-956	0	0	0	0	0	0	0	65	10	0	0	0	0	93	0	0	0	0	0	0	0	0	3	0	0	0	0	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	83	0	0	0	0	0	38
120	assemblage-155-860	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13

121	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
121	assemblage-680-956	0	0	0	0	0	0	0	65	10	0	0	0	0	93	0	0	0	0	0	0	0	0	3	0	0	0	0	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	83	0	0	0	0	0	38
121	assemblage-322-394	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5

122	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
122	assemblage-680-956	0	0	0	0	0	0	0	65	10	0	0	0	0	93	0	0	0	0	0	0	0	0	3	0	0	0	0	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	83	0	0	0	0	0	38
122	assemblage-672-983	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18

123	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
123	assemblage-680-956	0	0	0	0	0	0	0	65	10	0	0	0	0	93	0	0	0	0	0	0	0	0	3	0	0	0	0	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	83	0	0	0	0	0	38
123	assemblage-724-779	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	41	17

124	assemblage-845-335	0	0	0	0	0	0	0	0	0	0	138	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	89	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	16
124	assemblage-680-956	0	0	0	0	0	0	0	65	10	0	0	0	0	93	0	0	0	0	0	0	0	0	3	0	0	0	0	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	83	0	0	0	0	0	38
